"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,96550,"91915","CA","San Diego-Carlsbad","San Diego County","Chula Vista",5000,562400,0.000533712862479986,-0.00495399858457183,0.0186560405723601,,,"2006-06","2006-Q2",589400,-0.0458092975907703,"2005-04"
2018-11-30,91356,"76308","TX","Wichita Falls","Wichita County","Wichita Falls",5001,135400,0.00594353640416048,0.0180451127819549,0.0858059342421812,,,"2018-11","2018-Q4",135400,0,"2018-11"
2018-11-30,91895,"77385","TX","Houston-The Woodlands-Sugar Land","Montgomery County","Conroe",5002,217400,0.00138185168125288,-0.00183654729109275,0.00788131664348632,,,"2018-07","2018-Q3",218500,-0.00503432494279176,"2018-03"
2018-11-30,92646,"78735","TX","Austin-Round Rock","Travis County","Austin",5003,490600,0.00429887410440123,0.00718538287825908,0.0637467476149176,,,"1996-01","1996-Q1",791000,-0.379772439949431,
2018-11-30,58269,"01104","MA","Springfield","Hampden County","Springfield",5004,145600,0.00691562932226833,0.0297029702970297,0.0939143501126972,,,"2018-11","2018-Q4",145600,0,"2018-11"
2018-11-30,58506,"01832","MA","Boston-Cambridge-Newton","Essex County","Haverhill",5005,289300,0.00766283524904214,0.0101256983240223,0.0554542137905874,,,"2018-11","2018-Q4",289300,0,"2018-11"
2018-11-30,66232,"20136","VA","Washington-Arlington-Alexandria","Prince William County","Bristow",5006,470000,0.00448813849113058,0.0105353687379058,0.0479375696767001,,,"2006-01","2006-Q1",552500,-0.149321266968326,"2004-12"
2018-11-30,81479,"53913","WI","Baraboo","Sauk County","Baraboo",5007,167800,0.00418910831837223,0.0108433734939759,0.0546825895663105,,,"2018-11","2018-Q4",167800,0,"2018-11"
2018-11-30,79193,"48420","MI","Flint","Genesee County","Vienna",5008,123500,0.0098119378577269,0.024896265560166,0.0823838737949167,,,"2005-04","2005-Q2",127600,-0.0321316614420063,"2004-10"
2018-11-30,79931,"49770","MI",,"Emmet County","Petoskey",5009,187400,0.0257252326217843,0.0510375771172182,0.109532267613973,,,"2002-06","2002-Q2",252000,-0.256349206349206,"2000-09"
2018-11-30,84315,"60053","IL","Chicago-Naperville-Elgin","Cook County","Morton Grove",5010,300300,-0.00133022946458264,-0.00825627476882431,0.0228201634877384,,,"2006-08","2006-Q3",400200,-0.249625187406297,"2003-11"
2018-11-30,70425,"29360","SC","Greenville-Anderson-Mauldin","Laurens County","Laurens",5011,94600,0.00424628450106157,0.0150214592274678,0.0453038674033149,,,"2018-11","2018-Q4",94600,0,"2018-11"
2018-11-30,70011,"28532","NC","New Bern","Craven County","Havelock",5012,124600,0.00160771704180064,0.00646203554119548,0.0272052761747733,,,"2008-04","2008-Q2",140900,-0.115684882895671,"2006-01"
2018-11-30,58980,"02905","RI","Providence-Warwick","Providence County","Providence",5013,211400,0,0.00332225913621262,0.0649874055415617,,,"2006-06","2006-Q2",240600,-0.121363258520366,"2004-09"
2018-11-30,73222,"34788","FL","Orlando-Kissimmee-Sanford","Lake County","Silver Lake",5014,158400,0.0102040816326531,0.0352941176470588,0.158741770299927,,,"2006-07","2006-Q3",180800,-0.123893805309735,"2005-09"
2018-11-30,81262,"53172","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","South Milwaukee",5015,156400,0.00449582530507386,0.0182291666666667,0.0337078651685393,,,"2007-01","2007-Q1",167400,-0.0657108721624851,"2004-12"
2018-11-30,81965,"54904","WI","Oshkosh-Neenah","Winnebago County","Oshkosh",5016,214200,-0.00418410041841004,-0.00186393289841566,0.0812720848056537,,,"2018-09","2018-Q3",215600,-0.00649350649350649,"2018-08"
2018-11-30,69900,"28374","NC","Pinehurst-Southern Pines","Moore County","Pinehurst",5017,284500,0.00886524822695036,0.0230133045667026,0.00993965211217607,,,"2008-05","2008-Q2",295400,-0.0368991198375085,"2006-12"
2018-11-30,76809,"43725","OH","Cambridge","Guernsey County","Cambridge",5018,105700,0.0114832535885167,0.0332355816226784,0.0953367875647668,,,"2018-11","2018-Q4",105700,0,"2018-11"
2018-11-30,72573,"33406","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Lake Clarke Shores",5019,235900,0.00468483816013629,0.0146236559139785,0.115366430260047,,,"2006-09","2006-Q3",256600,-0.0806703039750585,"2006-01"
2018-11-30,70574,"29585","SC","Georgetown","Georgetown County","Pawleys Island",5020,292400,0.0209497206703911,0.0416815105094407,0.132894227043781,,,"2007-03","2007-Q1",346200,-0.155401502021953,"2005-11"
2018-11-30,66574,"20715","MD","Washington-Arlington-Alexandria","Prince Georges County","Bowie",5021,339800,0.00206428782070186,0.0116105983923787,0.0572495332918482,,,"2006-08","2006-Q3",380600,-0.107199159222281,"2005-05"
2018-11-30,75313,"39465","MS","Hattiesburg","Forrest County","Petal",5022,146800,0.00547945205479452,-0.00136054421768707,0.0583994232155732,,,"2018-07","2018-Q3",148500,-0.0114478114478114,"2018-06"
2018-11-30,399559,"25404","WV","Hagerstown-Martinsburg","Berkeley County","Martinsburg",5023,157600,0.000634920634920635,0.0174306003873467,0.0868965517241379,,,"2005-09","2005-Q3",213500,-0.261826697892272,"2004-08"
2018-11-30,85229,"61920","IL","Charleston-Mattoon","Coles County","Charleston",5024,96900,0.0189274447949527,0.0487012987012987,0.0707182320441989,,,"2018-11","2018-Q4",96900,0,"2018-11"
2018-11-30,100221,"99502","AK","Anchorage","Anchorage Borough","Anchorage",5025,337900,0.0014819205690575,-0.00147754137115839,0.00535554894376674,,,"2015-09","2015-Q3",339400,-0.00441956393635828,"2015-08"
2018-11-30,79168,"48375","MI","Detroit-Warren-Dearborn","Oakland County","Novi",5026,253600,-0.00704776820673453,-0.0628233555062823,-0.0774827209894507,,,"2018-04","2018-Q2",288400,-0.120665742024965,"2017-05"
2018-11-30,72641,"33486","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Boca Raton",5027,427800,0.000233808744447042,0.000935891436593355,0.0534351145038168,,,"2006-07","2006-Q3",452800,-0.0552120141342756,"2006-01"
